ClipID,Boredom,Engagement,Confusion,Frustration,EngagementLevel,Directory,EngagementCounter
1100011002,0,2,0,0,1,110001,10
1100011003,0,2,0,0,1,110001,20
1100011004,0,3,0,0,1,110001,30
1100011005,0,3,0,0,1,110001,40
1100011006,0,3,0,0,1,110001,50
1100011007,1,2,0,0,1,110001,60
1100011008,0,3,0,0,1,110001,70
1100011009,0,2,1,0,1,110001,80
1100011010,0,3,0,0,1,110001,90
1100011011,0,3,0,0,1,110001,100
1100011012,0,2,2,0,1,110001,110
1100011013,0,3,0,0,1,110001,120
1100011014,0,3,0,0,1,110001,130
1100011015,0,3,0,0,1,110001,140
1100011016,0,3,0,0,1,110001,150
1100011017,0,3,0,0,1,110001,160
1100011018,0,3,0,0,1,110001,170
1100011019,0,3,0,0,1,110001,180
1100011020,0,3,0,0,1,110001,190
1100011021,0,3,0,0,1,110001,200
1100011022,0,3,0,0,1,110001,210
1100011023,0,3,0,0,1,110001,220
1100011025,0,3,0,0,1,110001,230
1100011026,0,3,0,0,1,110001,240
1100011027,0,3,0,0,1,110001,250
1100011028,0,3,0,0,1,110001,260
1100011029,0,3,0,0,1,110001,270
1100011031,0,3,0,0,1,110001,280
1100011032,0,3,0,0,1,110001,290
1100011034,0,3,0,0,1,110001,300
1100011035,0,3,0,0,1,110001,310
1100011037,0,3,0,0,1,110001,320
1100011038,0,3,0,0,1,110001,330
1100011040,1,2,0,0,1,110001,340
1100011046,0,3,0,0,1,110001,350
1100011047,0,3,0,0,1,110001,360
1100011048,1,2,1,1,0,110001,0
1100011049,0,3,0,0,1,110001,10
1100011050,0,3,0,0,1,110001,20
1100011051,0,3,1,0,1,110001,30
1100011052,1,3,0,1,1,110001,40
1100011053,0,3,0,0,1,110001,50
1100011054,0,3,0,0,1,110001,60
1100011055,0,3,0,0,1,110001,70
1100011056,0,3,0,0,1,110001,80
1100011057,1,3,0,0,1,110001,90
1100011058,0,3,0,0,1,110001,100
1100011059,0,3,1,0,1,110001,110
1100011060,1,3,1,1,1,110001,120
1100011062,0,3,0,0,1,110001,130
1100011063,0,3,0,0,1,110001,140
1100011064,0,3,0,0,1,110001,150
1100011066,1,3,0,0,1,110001,160
1100011067,0,3,0,0,1,110001,170
1100011068,0,3,0,0,1,110001,180
1100011069,0,3,0,0,1,110001,190
1100011070,0,3,0,0,1,110001,200
1100011071,0,3,0,0,1,110001,210
1100011072,0,3,0,0,1,110001,220
1100011073,0,3,0,0,1,110001,230
1100011075,0,3,0,0,1,110001,240
1100011076,0,3,0,0,1,110001,250
1100011078,0,2,0,0,1,110001,260
1100011079,0,3,0,0,1,110001,270
1100011080,0,3,0,0,1,110001,280
1100011081,0,3,0,0,1,110001,290
1100011082,0,3,0,0,1,110001,300
1100011083,0,3,0,0,1,110001,310
1100012001,0,3,0,0,1,110001,320
1100012003,0,3,0,0,1,110001,330
1100012007,0,3,0,1,1,110001,340
1100012008,0,3,0,0,1,110001,350
1100012009,0,3,0,0,1,110001,360
1100012010,0,3,3,0,1,110001,370
1100012011,0,3,0,1,1,110001,380
1100012013,0,3,0,0,1,110001,390
1100012014,0,3,0,0,1,110001,400
