ClipID,Blinking,Smiling,Head Movement,Boredom,Engagement,Confusion,Frustration,EngagementLevel,Directory,GenerativeTimer,EngagementCounter,_merge
50004410014,0.0,0.0,1.0,,,,,,,,,left_only
50004410024,3.0,6.0,3.0,,,,,,,,,left_only
50004410034,0.0,0.0,0.0,,,,,,,,,left_only
50004410054,0.0,0.0,0.0,,,,,,,,,left_only
50004410064,1.0,0.0,0.0,,,,,,,,,left_only
50004410074,0.0,0.0,0.0,,,,,,,,,left_only
50004410084,1.0,1.0,0.0,,,,,,,,,left_only
50004410094,1.0,1.0,0.0,,,,,,,,,left_only
50004410104,1.0,0.0,0.0,,,,,,,,,left_only
50004410124,0.0,0.0,0.0,,,,,,,,,left_only
50004410134,2.0,1.0,0.0,,,,,,,,,left_only
50004410144,3.0,4.0,0.0,,,,,,,,,left_only
50004410154,2.0,0.0,0.0,,,,,,,,,left_only
50004410164,1.0,0.0,0.0,,,,,,,,,left_only
50004410174,0.0,0.0,0.0,,,,,,,,,left_only
50004410184,3.0,2.0,0.0,,,,,,,,,left_only
50004410214,1.0,1.0,0.0,,,,,,,,,left_only
50004410224,2.0,2.0,0.0,,,,,,,,,left_only
50004410234,1.0,0.0,0.0,,,,,,,,,left_only
50004410244,0.0,0.0,0.0,,,,,,,,,left_only
50004410274,0.0,0.0,0.0,,,,,,,,,left_only
50004410304,2.0,1.0,0.0,,,,,,,,,left_only
50004410314,1.0,1.0,0.0,,,,,,,,,left_only
50004410324,2.0,0.0,0.0,,,,,,,,,left_only
50004410334,1.0,1.0,0.0,,,,,,,,,left_only
50004410344,3.0,2.0,3.0,,,,,,,,,left_only
50004410354,2.0,1.0,0.0,,,,,,,,,left_only
50004410374,2.0,1.0,0.0,,,,,,,,,left_only
50004410384,3.0,1.0,0.0,,,,,,,,,left_only
50004410394,2.0,0.0,0.0,,,,,,,,,left_only
50004410404,2.0,1.0,0.0,,,,,,,,,left_only
50004410414,2.0,2.0,0.0,,,,,,,,,left_only
50004410424,1.0,0.0,0.0,,,,,,,,,left_only
50004410434,1.0,0.0,2.0,,,,,,,,,left_only
50004410444,1.0,5.0,0.0,,,,,,,,,left_only
50004410454,0.0,0.0,0.0,,,,,,,,,left_only
50004410464,0.0,0.0,0.0,,,,,,,,,left_only
50004410474,3.0,4.0,0.0,,,,,,,,,left_only
50004410484,1.0,1.0,0.0,,,,,,,,,left_only
50004410504,4.0,4.0,0.0,,,,,,,,,left_only
50004410514,1.0,0.0,0.0,,,,,,,,,left_only
50004410524,1.0,1.0,0.0,,,,,,,,,left_only
50004410534,0.0,0.0,0.0,,,,,,,,,left_only
50004410544,0.0,1.0,0.0,,,,,,,,,left_only
50004410554,0.0,0.0,0.0,,,,,,,,,left_only
50004410584,3.0,2.0,0.0,,,,,,,,,left_only
50004410594,4.0,2.0,0.0,,,,,,,,,left_only
50004410614,2.0,0.0,0.0,,,,,,,,,left_only
