ClipID,Blinking,Smiling,Head Movement,Boredom,Engagement,Confusion,Frustration,EngagementLevel,Directory,GenerativeTimer,EngagementCounter,_merge
5000441001,,,,1.0,2.0,0.0,0.0,1.0,500044.0,10.0,10.0,right_only
5000441002,,,,0.0,2.0,0.0,0.0,1.0,500044.0,20.0,20.0,right_only
5000441003,,,,1.0,2.0,0.0,0.0,1.0,500044.0,30.0,30.0,right_only
5000441005,,,,2.0,2.0,0.0,0.0,1.0,500044.0,40.0,40.0,right_only
5000441006,,,,2.0,2.0,1.0,2.0,0.0,500044.0,50.0,0.0,right_only
5000441007,,,,2.0,2.0,0.0,0.0,1.0,500044.0,60.0,10.0,right_only
5000441008,,,,2.0,2.0,0.0,1.0,0.0,500044.0,70.0,0.0,right_only
5000441009,,,,0.0,3.0,0.0,0.0,1.0,500044.0,80.0,10.0,right_only
5000441010,,,,2.0,2.0,0.0,0.0,1.0,500044.0,90.0,20.0,right_only
5000441012,,,,1.0,2.0,0.0,0.0,1.0,500044.0,100.0,30.0,right_only
5000441013,,,,1.0,2.0,0.0,0.0,1.0,500044.0,110.0,40.0,right_only
5000441014,,,,1.0,2.0,1.0,1.0,0.0,500044.0,120.0,0.0,right_only
5000441015,,,,0.0,2.0,1.0,2.0,0.0,500044.0,130.0,0.0,right_only
5000441016,,,,0.0,3.0,0.0,0.0,1.0,500044.0,140.0,10.0,right_only
5000441017,,,,2.0,2.0,1.0,0.0,0.0,500044.0,150.0,0.0,right_only
5000441018,,,,1.0,3.0,0.0,0.0,1.0,500044.0,160.0,10.0,right_only
5000441021,,,,2.0,3.0,0.0,0.0,1.0,500044.0,170.0,20.0,right_only
5000441022,,,,2.0,2.0,1.0,1.0,0.0,500044.0,180.0,0.0,right_only
5000441023,,,,0.0,3.0,0.0,0.0,1.0,500044.0,190.0,10.0,right_only
5000441024,,,,2.0,1.0,1.0,0.0,0.0,500044.0,200.0,0.0,right_only
5000441027,,,,0.0,3.0,0.0,0.0,1.0,500044.0,210.0,10.0,right_only
5000441030,,,,2.0,2.0,0.0,0.0,1.0,500044.0,220.0,20.0,right_only
5000441031,,,,3.0,2.0,0.0,0.0,0.0,500044.0,230.0,0.0,right_only
5000441032,,,,2.0,2.0,0.0,0.0,1.0,500044.0,240.0,10.0,right_only
5000441033,,,,2.0,2.0,0.0,0.0,1.0,500044.0,250.0,20.0,right_only
5000441034,,,,0.0,2.0,2.0,0.0,1.0,500044.0,260.0,30.0,right_only
5000441035,,,,1.0,3.0,1.0,0.0,1.0,500044.0,270.0,40.0,right_only
5000441037,,,,0.0,2.0,0.0,0.0,1.0,500044.0,280.0,50.0,right_only
5000441038,,,,2.0,3.0,0.0,0.0,1.0,500044.0,290.0,60.0,right_only
5000441039,,,,2.0,3.0,0.0,0.0,1.0,500044.0,300.0,70.0,right_only
5000441040,,,,1.0,3.0,1.0,0.0,1.0,500044.0,310.0,80.0,right_only
5000441041,,,,0.0,3.0,0.0,0.0,1.0,500044.0,320.0,90.0,right_only
5000441042,,,,0.0,2.0,0.0,0.0,1.0,500044.0,330.0,100.0,right_only
5000441043,,,,1.0,2.0,0.0,0.0,1.0,500044.0,340.0,110.0,right_only
5000441044,,,,0.0,2.0,0.0,0.0,1.0,500044.0,350.0,120.0,right_only
5000441045,,,,1.0,2.0,0.0,1.0,1.0,500044.0,360.0,130.0,right_only
5000441046,,,,1.0,3.0,0.0,0.0,1.0,500044.0,370.0,140.0,right_only
